X,Y,宽度,高度,旋转角度,面积,类别
168.5,260,131,58,0,7598,1
312.1000366,278.7000122,122.9837418,55.007267,-26.56505013,6764.999519,0
318.7838135,121.4100723,251.7129364,108.3217545,-74.12635803,27265.98689,0
83.49998474,545.999939,166.9999695,65.99998474,0,11021.99544,0
322.7797852,439.7190552,102.2854385,46.99874496,-57.38075256,4807.287239,0
251.8000183,247.1000366,112.2608414,50.2802124,-71.56504822,5644.498949,0
303,222,226,112,0,25312,0
110.6981277,497.502655,107.7068558,40.47933578,-54.24611282,4359.901981,0
172.5638885,242.2912445,116.6780472,38.56334686,-81.11934662,4499.496005,1
24.5,137,106,49,-90,5194,0
110.9999847,81.49998474,69.99998474,32.99999237,0,2309.998962,0
232.25,61.24999237,103.237587,38.89087296,-45,4014.999879,0
153.4245911,269.7536011,145.2367554,43.37611389,-87.22083282,6299.806042,1
177.5247345,527.8382568,362.1108704,74.88710785,-85.3600769,27117.4358,0
182.5,271.5,103,37,-90,3811,1
100,82,90,40,0,3600,0
340,42.5,85,38,-90,3230,0
176,13.5,104,27,0,2808,0
247.1161499,202.6846771,85.60916901,40.64825439,-5.599339485,3479.86328,0
280,519.5,158,73,0,11534,0
277.5,485.5,97,47,0,4559,0
76.75183105,508.6824951,187.1043243,83.1289978,-70.01689148,15553.79497,0
57.5,228.5,105,45,-90,4725,0
149.0617981,115.3988724,109.2817307,34.32855225,-77.00537872,3751.4836,0
151.1499939,435.5500183,169.4980774,49.6477623,-71.56504822,8415.200256,0
50.6569252,23.32461548,103.6734695,42.54550552,-3.179830074,4410.840171,0
199.9247437,523.6240845,152.1492767,66.47298431,-89.34893799,10113.81649,0
284.4852905,397.0962524,152.4072113,49.55301666,-10.58732128,7552.237081,0
40.8109436,97.85940552,94.7244339,36.87927628,-22.78240585,3493.368568,0
230.1034241,62.9944191,269.8046875,130.2293396,-84.95755005,35136.48627,0
47.79999924,293.1000061,108.6728973,30.41052055,-26.56505013,3304.799378,0
33,94,180,66,-90,11880,0
160.4666595,75.63158417,381.474762,183.5769653,-22.31718445,70029.97915,0
152,279.5,96,35,0,3360,1
50,115.5,92,35,0,3220,0
282.5,525.5,153,71,0,10863,0
108.4997482,68.47727203,143.5930176,52.21253967,-0.651060283,7497.356127,0
94.5,42,189,84,-90,15876,0
334,94.5,111,50,0,5550,0
206.1360779,246.0938263,194.2216034,38.93935013,-0.812651634,7562.863017,0
306.5,194,105,50,0,5250,0
162.0727081,86.27812195,326.0745544,136.7832794,-87.29705811,44601.54689,0
99,242,198,96,-90,19008,1
314.7224426,168.595993,94.08268738,38.00012207,-81.72411346,3575.153605,0
159.3772888,55.34889221,284.2228088,117.920845,-87.9010849,33515.7938,0
177.9770355,154.2620239,367.0187073,156.2186279,-82.29853058,57335.15888,1
55.56723022,548.4393921,126.3151779,50.04509354,-23.62937927,6321.454894,0
41.66736221,239.6248322,92.07554626,38.22394562,-14.99507904,3519.490673,0
247.3744659,194.9037476,142.7475739,57.14225006,-2.321530819,8156.917561,1
333.2531738,475.536438,126.569519,41.27267456,-31.60750198,5223.862569,0
216.704834,382.7160645,144.1074371,52.74207687,-84.06848145,7600.525527,0
95.5,15,123,30,-90,3690,0
49.99999237,150.5000153,130.8147583,54.44721603,-45,7122.499406,0
227.5784607,161.5730591,167.7787018,61.28665924,-6.940983295,10282.59612,1
226.9886169,57.20201111,270.492218,100.1293793,-81.57302856,27084.21789,0
281.6085815,452.0501099,158.4243469,70.21353912,-2.891269684,11123.53408,0
247,40,208,80,-90,16640,0
340.5,530,98,37,-90,3626,0
74.569664,198.7685547,154.8706512,68.4521637,-84.55966949,10601.23117,0
225,39.5,268,79,0,21172,0
162.1322632,160.9092712,146.7022552,39.34165192,-9.673355103,5771.509061,0
147,116,104,36,0,3744,0
196,19,78,38,-90,2964,0
117.352951,506.0882263,262.1810303,103.3201828,-75.96376038,27088.59197,0
65.34764862,168.6394043,86.9154892,42.08575439,-84.09384918,3657.903931,0
51.2220459,121.5511093,103.9968338,37.80976486,-2.290609837,3932.095832,0
338.9999695,88.49998474,110.9999847,39.99999237,0,4439.998543,0
182.5,164.5,91,43,-90,3913,1
97.5,520,153,66,0,10098,0
316.4999695,465.5,84.99998474,30.99999619,0,2634.999203,0
91.66871643,366.4772949,117.5765228,40.09560776,-1.941486478,4714.302141,0
49.09999847,185.7000275,120.3004532,40.69643402,-26.56505013,4895.799456,0
153.5415955,276.1861267,106.8064423,32.81858826,-78.15792084,3505.236652,1
269.6954651,27.06125641,130.3253784,48.25362778,-22.96377373,6288.6723,0
334.9170532,174.8463135,94.35793304,43.0233078,-65.22485352,4059.590397,0
269.5,22,91,44,0,4004,0
210.4410706,131.0459595,260.024292,72.12506104,-86.77547455,18754.26793,0
181.4491577,154.3596191,145.2813873,40.3897934,-85.0062561,5867.885219,0
241.4999695,561.499939,156.9999695,34.99999237,0,5494.997734,0
303.7735901,514.7924194,111.286171,40.13599396,-2.489552975,4466.581085,0
91.68813324,489.3811951,171.6342773,61.36470413,-69.14553833,10532.28665,0
48.02246094,413.9484558,100.1017914,46.49362183,-84.89783478,4654.094833,0
269.2120667,423.2442322,129.2467346,35.46953583,-56.91514587,4584.321684,0
216.723877,144.4922943,139.1242065,69.47595215,-1.97493434,9665.786716,0
273.6072388,320.6871338,145.4328918,54.73028946,-79.21569824,7959.584268,0
36.42307663,206.115387,85.07463074,41.92337036,-74.74488068,3566.615253,0
175.5,505,351,148,0,51948,0
264.0027161,112.9481964,135.375885,27.15818214,-87.02626801,3676.562943,0
175.9856873,72.1114502,295.26828,114.9694519,-7.930467129,33946.83232,0
233.5701447,433.0272217,211.9503021,67.54250336,-87.27368927,14315.65399,0
53.29244614,201.7735901,89.00963593,38.04887009,-15.94539738,3386.716074,0
250,196.5,168,75,0,12600,1
179.4999695,65.5,358.999939,130.9999695,-90,47028.98105,0
166.5,342,79,38,-90,3002,0
165,129,100,46,0,4600,0
53,49,90,42,0,3780,0
228.9999847,55.49999237,251.9999695,110.9999847,0,27971.99277,0
169.5831299,243.4345398,200.9605408,56.11680222,-84.39382935,11277.26292,1
277.6957397,253.1136169,95.22099304,37.26038742,-9.162347794,3547.971091,0
168,243.5,78,29,0,2262,1
275.7233582,204.3371429,118.3837814,43.61949921,-5.630682468,5163.84126,0
260.4999695,38.49999237,196.9999695,76.99998474,0,15168.99464,0
188.2709045,141.3044434,429.8654785,209.0039978,-70.07442474,89843.60353,0
73.71717834,291.4389038,216.1297455,39.82222366,-42.27368546,8606.767065,0
270.8616028,50.7149086,179.7911987,73.1309967,-6.146626472,13148.30956,0
198.5,206.5,115,43,0,4945,1
316,223,184,86,0,15824,0
261.5,63,117,56,0,6552,0
123.5279541,462.4603882,149.6509399,63.73614883,-46.66833496,9538.174581,0
166,301,84,30,-90,2520,1
180.6421509,236.6878815,145.520752,34.54867935,-1.569354773,5027.549798,0
338.5,163,84,41,0,3444,0
51,108,216,102,-90,22032,0
177,82,354,164,0,58056,0
115,555,166,48,0,7968,0
297.8652344,381.2081604,124.9039383,49.26663971,-15.32151031,6153.597326,0
278,22.5,162,45,-90,7290,0
92,20.5,184,41,-90,7544,0
63.5,443.5,77,35,0,2695,0
41.27931213,425.9632874,107.7196808,47.92769623,-24.84239006,5162.756138,0
52.5,374,95,46,0,4370,0
188.491272,236.407074,79.93075562,32.70035553,-5.355824947,2613.764126,1
99.23643494,182.8593445,94.04918671,46.27406693,-79.56252289,4352.03836,0
301.5042419,162.5917664,117.5884094,56.04424286,-2.632435083,6590.153375,0
245.3439178,105.0449982,234.9491577,77.96975708,-5.541204453,18318.92875,0
269.5,23,135,46,-90,6210,0
169.274231,225.01474,113.518364,34.422966,-88.38645935,3907.638783,1
58.58131027,69.13262177,95.58087158,29.96236801,-84.6441803,2863.829249,0
300,41.5,118,35,0,4130,0
191.5239258,250.3875427,109.466507,29.78868103,-0.987760425,3260.862859,1
179.5,76.5,359,153,0,54927,0
309,143.5,92,31,0,2852,0
59.02010345,545.3859253,104.3701477,51.36584091,-34.99201965,5361.060403,0
264.3625488,128.6769714,206.0547333,101.9143753,-81.04753113,20999.93942,0
121.5,28,133,56,0,7448,0
161.4047241,523.0914917,160.7177277,59.81305695,-34.38034439,9613.018597,0
305.0413818,219.9151154,116.8965302,49.25139999,-10.88552761,5757.317764,0
149.6074524,224.9490967,154.156601,70.62231445,-88.78113556,10886.89595,1
250.9730835,518.9248047,125.3894501,45.15180969,-39.33271408,5661.560587,0
83.5,41,167,82,0,13694,0
179.5,491,359,176,0,63184,0
31.92107964,425.015564,93.29969025,43.80840683,-37.69424057,4087.310787,0
232,276,84,28,-90,2352,1
48.0996666,223.317688,173.6524048,85.36579895,-41.47855377,14823.97627,0
141.2966461,154.4060059,136.9772644,52.05228424,-87.35746002,7129.979501,0
304.5,170,340,109,0,37060,0
195,254.5,98,23,0,2254,1
245.5,22,123,44,-90,5412,0
179,147,86,40,0,3440,0
167.5,534.5,249,89,0,22161,0
299,289.5,83,36,0,2988,0
170,217,80,26,0,2080,1
209.4999695,212,86.99998474,25.99999619,0,2261.999271,1
306.8051453,502.3396912,100.5502701,38.08073425,-3.270487547,3829.028114,0
108.4219589,467.8024292,104.4153442,38.76288605,-12.09475708,4047.44009,0
88.78804779,95.71122742,123.2726974,42.97772598,-7.66680479,5297.980212,0
179.5,88.5,359,177,0,63543,0
306.5,272,105,48,0,5040,0
28.4180851,317.1962585,87.74163055,37.83961105,-38.29016495,3320.109173,0
185.1945648,274.9437256,94.67031097,32.6868782,-79.56252289,3094.476924,1
43.46817017,224.1512146,87.60595703,43.05619049,-78.11134338,3771.978774,0
286.7007751,200.9816589,89.33218384,34.98027802,-11.56013203,3124.864626,0
286,25,146,50,-90,7300,0
183.1006775,78.3577652,166.982605,61.78681183,-9.706652641,10317.32279,0
176.8267822,80.3510437,366.5428772,144.7511444,-11.93330383,53057.50095,0
331.3020325,179.2715759,126.8909912,55.50144958,-85.91438293,7042.633951,0
62.42691803,33.77338409,152.3998718,54.9496994,-21.68906212,8374.327146,0
179.4230957,495.8846741,90.21342468,32.94751358,-78.69007111,2972.308035,0
126.0798416,378.4298706,176.9185944,43.16300964,-13.42183495,7636.338994,0
144.3892365,248.9371033,129.7716675,43.50786972,-81.65610504,5646.088802,1
225.3445282,50.52325439,189.2431335,92.5315094,-12.7452898,17510.95279,0
108.5676041,28.07875252,96.59918976,46.41078568,-62.44719315,4483.244292,0
179.8023071,527.43573,363.5741882,106.6887665,-85.74616241,38789.28167,0
174,222.5,234,51,0,11934,0
68.99998474,545,137.9999695,67.99998474,0,9383.995819,0
186.407196,525.9588013,181.2392883,65.18522644,-66.03751373,11814.12405,0
154.5,472,99,36,0,3564,0
195.5,559,81,40,0,3240,0
165,295.5,88,27,0,2376,1
225,14,88,28,-90,2464,0
124.2114258,522.1841431,258.9230347,60.53721237,-81.93675232,15674.47874,0
127.5,450.5,221,73,0,16133,0
295.5,239.5,93,43,0,3999,0
111,261.5,222,95,0,21090,1
128.5,522,257,114,0,29298,0
179,216,96,28,-90,2688,1
250.0292664,225.108551,102.6921082,41.62947845,-1.041626692,4275.018904,1
205,73.5,308,147,0,45276,0
20.5,53,106,41,-90,4346,0
113.5,563,117,32,0,3744,0
339.9999695,533,91.99998474,37.99999237,0,3495.998718,0
86.64105225,502.4595947,189.8396149,64.05271912,-77.3741684,12159.74353,0
138.7894135,422.9102478,222.1327362,105.258667,-3.979382038,23381.39571,0
336.6750793,339.3315735,147.237381,68.7204895,-56.88866043,10118.22489,0
203.0326233,275.986145,105.6285782,29.0526123,-86.3670578,3068.78613,1
152.5,291.5,85,31,0,2635,1
301,26.5,116,53,0,6148,0
